"Computer Name","IP Address","OS","CPU","Last Report Time"
"240NGPPC005","172.19.57.232","Win10 10.0.17134.885 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:01:00 +0000"
"240NGPPC004","172.19.60.30","Win10 10.0.17134.984 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:10:02 +0000"
"238NGPPC113","172.19.19.26","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 17:25:09 +0000"
"240NGPPC003","172.19.57.166","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:05:09 +0000"
"239SLPPC990","172.19.26.159","Win7 6.1.7601","3200 MHz Core i5-6500","Tue, 05 Nov 2019 18:02:56 +0000"
"239SLPPC002","172.19.26.172","Win7 6.1.7601","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:08:40 +0000"
"239SLPPC001","172.19.26.160","Win7 6.1.7601","3200 MHz Core i5-6500","Tue, 05 Nov 2019 17:32:54 +0000"
"239OCCPC002","172.19.26.174","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:12:32 +0000"
"239OCCPC001","172.19.26.78","Win7 6.1.7601","3300 MHz Core i5-3550","Tue, 05 Nov 2019 18:06:53 +0000"
"239OCCLT002","172.16.1.63","Win7 6.1.7601","2300 MHz Core i5-5300U","Tue, 05 Nov 2019 17:53:10 +0000"
"239OCCLT001","172.16.5.83","Win7 6.1.7601","2300 MHz Core i5-5300U","Tue, 05 Nov 2019 17:05:58 +0000"
"240NGPLT001","192.168.1.80
172.19.172.85","Win10 10.0.17134.984 (1803)","2300 MHz Core i5-5300U","Mon, 04 Nov 2019 21:49:29 +0000"
"250FAMPC306","10.71.97.233","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:46:26 +0000"
"243THCLT013","10.64.72.146","Win10 10.0.17134.590 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:05:26 +0000"
"243THCPC013","10.64.72.224","Win7 6.1.7601","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:14:29 +0000"
"247TRALT005","172.16.2.44","Win10 10.0.17134.1069 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:08:54 +0000"
"247TRALT002","172.19.172.42
192.168.1.80","Win7 6.1.7601","2500 MHz Core i5-6300U","Tue, 05 Nov 2019 18:05:00 +0000"
"247INFPC990","172.25.107.29","Win10 10.0.17134.829 (1803)","2700 MHz Core i5-7500T","Tue, 05 Nov 2019 18:14:54 +0000"
"247INFPC003","172.25.107.12","Win10 10.0.17134.829 (1803)","2100 MHz Core i5-8500T","Wed, 30 Oct 2019 18:03:47 +0000"
"246ITSPC007","10.74.8.226","Win10 10.0.18362.357 (1903)","2900 MHz Core i5-4570S","Tue, 05 Nov 2019 18:09:02 +0000"
"246ITSPC006","10.74.8.130","Win10 10.0.17134.1009 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:52:44 +0000"
"246ITSPC005","10.74.9.232","Win10 10.0.17134.1009 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 16:35:54 +0000"
"247TRALT010","172.16.6.11","Win10 10.0.18362.239 (1903)","2300 MHz Core i5-5300U","Tue, 05 Nov 2019 17:53:44 +0000"
"246ITSPC004","10.74.9.15","Win10 10.0.17134.1009 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 16:16:50 +0000"
"246ITSPC002","10.74.16.214","Win10 10.0.17134.1009 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Fri, 01 Nov 2019 15:29:11 +0000"
"246ITSPC001","10.74.8.134","Win10 10.0.17134.1009 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:15:01 +0000"
"246ITSLT249","192.168.1.253
10.74.8.120","Win10 10.0.17134.1009 (1803)","2800 MHz Core i7-6600U","Tue, 05 Nov 2019 18:09:35 +0000"
"246ITSLT034","10.74.8.97","Win10 10.0.18362.418 (1903)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:11:38 +0000"
"246ITSLT033","172.16.7.79
10.74.9.18","Win10 10.0.17134.1009 (1803)","2500 MHz Core i5-6300U","Tue, 05 Nov 2019 17:56:50 +0000"
"246ITSLT031","172.16.1.254","Win10 10.0.17134.1009 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 17:46:38 +0000"
"246ITSLT030","10.74.8.150","Win10 10.0.17134.1009 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:05:55 +0000"
"246ITSPC003","10.74.24.29","Win10 10.0.17134.1009 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 16:25:16 +0000"
"246ITSLT028","172.16.7.226","Win10 10.0.17134.1009 (1803)","2500 MHz Core i5-6300U","Mon, 04 Nov 2019 23:22:14 +0000"
"247TRALT011","172.16.4.220","Win10 10.0.17134.590 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 16:49:17 +0000"
"247TRAPC001","172.25.107.37","Win10 10.0.17134.885 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:09:17 +0000"
"250FAMPC304","172.16.2.96","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:38:26 +0000"
"250FAMPC302","10.71.97.102","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:00:57 +0000"
"250FAMPC301","10.71.89.72","Win10 10.0.17134.1006 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:41:43 +0000"
"250FAMLT012","192.168.254.6
172.19.174.94","Win10 10.0.17134.590 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 02:36:48 +0000"
"250FAMLT004","10.240.168.27
172.19.175.126","Win10 10.0.10586.1176 (1511)","2300 MHz Core i5-4200U","Tue, 05 Nov 2019 06:04:50 +0000"
"250FAMLT001","192.168.254.5
172.19.177.214","Win10 10.0.17134.1009 (1803)","2500 MHz Core i5-6300U","Mon, 28 Oct 2019 10:31:12 +0000"
"249THCPC990","172.19.90.41","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:57:43 +0000"
"247TRALT015","172.16.7.51","Win10 10.0.18362.295 (1903)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Fri, 25 Oct 2019 14:56:03 +0000"
"247TRAPC990","172.25.107.21","Win10 10.0.17134.885 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:15:47 +0000"
